animal_ID	breed	farm_ID	date_of_birth	lactation_rank	calving_date	calving_season	age_at_calving	PHYS	HYS	305d_milk	305d_fat	305d_protein
animal_2598	SIM	farm_1	06/19/2010	2	08/01/2013	vara	1139	2-farm_1-2013-vara	farm_1-2013-vara	3890	153	145
animal_2598	SIM	farm_1	06/19/2010	3	01/12/2015	iarna	1668	3-farm_1-2015-iarna	farm_1-2015-iarna	5424	210	182
animal_2598	SIM	farm_1	06/19/2010	1	11/14/2012	iarna	879	1-farm_1-2012-iarna	farm_1-2012-iarna	2681	122	89
animal_2603	SIM	farm_1	07/09/2006	3	05/06/2011	vara	1762	3-farm_1-2011-vara	farm_1-2011-vara	5047	238	175
animal_2674	SIM	farm_1	10/06/2007	2	09/17/2011	vara	1442	2-farm_1-2011-vara	farm_1-2011-vara	5822	253	199
animal_2675	SIM	farm_1	10/31/2007	3	07/25/2012	vara	1729	3-farm_1-2012-vara	farm_1-2012-vara	4355	178	156
animal_2675	SIM	farm_1	10/31/2007	2	05/06/2011	vara	1283	2-farm_1-2011-vara	farm_1-2011-vara	5644	250	202
animal_2676	SIM	farm_1	04/06/2008	2	10/29/2011	iarna	1301	2-farm_1-2011-iarna	farm_1-2011-iarna	6367	268	224
animal_2676	SIM	farm_1	04/06/2008	3	01/27/2013	iarna	1757	3-farm_1-2013-iarna	farm_1-2013-iarna	4739	194	150
animal_2678	SIM	farm_1	07/13/2008	2	02/11/2012	iarna	1308	2-farm_1-2012-iarna	farm_1-2012-iarna	6322	248	209
animal_2679	SIM	farm_1	08/13/2008	3	11/18/2012	iarna	1558	3-farm_1-2012-iarna	farm_1-2012-iarna	5685	216	175
animal_2679	SIM	farm_1	08/13/2008	1	06/06/2011	vara	1027	1-farm_1-2011-vara	farm_1-2011-vara	4431	188	150
animal_2680	SIM	farm_1	08/31/2008	1	06/07/2011	vara	1010	1-farm_1-2011-vara	farm_1-2011-vara	5485	212	185
animal_2681	SIM	farm_1	09/10/2008	1	07/18/2011	vara	1041	1-farm_1-2011-vara	farm_1-2011-vara	6267	242	192
animal_2681	SIM	farm_1	09/10/2008	3	04/09/2013	vara	1672	3-farm_1-2013-vara	farm_1-2013-vara	6613	262	223
animal_2682	SIM	farm_1	12/25/2008	1	04/06/2011	vara	832	1-farm_1-2011-vara	farm_1-2011-vara	4928	179	159
animal_2682	SIM	farm_1	12/25/2008	2	04/01/2012	vara	1193	2-farm_1-2012-vara	farm_1-2012-vara	5830	177	186
animal_2682	SIM	farm_1	12/25/2008	3	04/20/2013	vara	1577	3-farm_1-2013-vara	farm_1-2013-vara	5690	199	190
animal_2683	SIM	farm_1	01/02/2009	2	05/06/2012	vara	1220	2-farm_1-2012-vara	farm_1-2012-vara	4394	166	157
animal_2683	SIM	farm_1	01/02/2009	1	06/25/2011	vara	904	1-farm_1-2011-vara	farm_1-2011-vara	3196	161	110
animal_2683	SIM	farm_1	01/02/2009	3	07/22/2013	vara	1662	3-farm_1-2013-vara	farm_1-2013-vara	3300	149	139
animal_2684	SIM	farm_1	01/08/2009	2	06/06/2012	vara	1245	2-farm_1-2012-vara	farm_1-2012-vara	2526	91	95
animal_2684	SIM	farm_1	01/08/2009	1	06/12/2011	vara	885	1-farm_1-2011-vara	farm_1-2011-vara	4694	167	150
animal_2685	SIM	farm_1	02/25/2009	1	12/27/2011	iarna	1035	1-farm_1-2011-iarna	farm_1-2011-iarna	4875	211	160
animal_2686	SIM	farm_1	03/24/2009	3	09/28/2013	vara	1649	3-farm_1-2013-vara	farm_1-2013-vara	4050	198	141
animal_2686	SIM	farm_1	03/24/2009	2	03/24/2012	iarna	1096	2-farm_1-2012-iarna	farm_1-2012-iarna	5441	231	195
animal_2686	SIM	farm_1	03/24/2009	1	05/04/2011	vara	771	1-farm_1-2011-vara	farm_1-2011-vara	3644	183	131
animal_2687	SIM	farm_1	04/27/2009	2	01/09/2013	iarna	1353	2-farm_1-2013-iarna	farm_1-2013-iarna	5591	195	184
animal_2687	SIM	farm_1	04/27/2009	1	01/01/2012	iarna	979	1-farm_1-2012-iarna	farm_1-2012-iarna	5267	203	170
animal_2687	SIM	farm_1	04/27/2009	3	12/27/2013	iarna	1705	3-farm_1-2013-iarna	farm_1-2013-iarna	3905	155	138
animal_2688	SIM	farm_1	05/23/2009	1	10/14/2011	iarna	874	1-farm_1-2011-iarna	farm_1-2011-iarna	4717	190	153
animal_2688	SIM	farm_1	05/23/2009	2	11/04/2012	iarna	1261	2-farm_1-2012-iarna	farm_1-2012-iarna	4961	200	180
animal_2689	SIM	farm_1	06/11/2008	3	07/12/2012	vara	1492	3-farm_1-2012-vara	farm_1-2012-vara	4835	208	167
animal_2690	SIM	farm_1	07/22/2009	1	10/28/2011	iarna	828	1-farm_1-2011-iarna	farm_1-2011-iarna	5029	187	149
animal_2690	SIM	farm_1	07/22/2009	3	09/03/2013	vara	1504	3-farm_1-2013-vara	farm_1-2013-vara	5104	197	178
animal_2690	SIM	farm_1	07/22/2009	2	09/20/2012	vara	1156	2-farm_1-2012-vara	farm_1-2012-vara	5152	193	169
animal_2691	SIM	farm_1	10/24/2009	3	08/19/2014	vara	1760	3-farm_1-2014-vara	farm_1-2014-vara	5359	223	177
animal_2691	SIM	farm_1	10/24/2009	2	11/11/2012	iarna	1114	2-farm_1-2012-iarna	farm_1-2012-iarna	5664	234	190
animal_2694	SIM	farm_1	03/08/2010	3	06/21/2014	vara	1566	3-farm_1-2014-vara	farm_1-2014-vara	5737	233	179
animal_2694	SIM	farm_1	03/08/2010	1	04/14/2012	vara	768	1-farm_1-2012-vara	farm_1-2012-vara	5492	212	171
animal_2695	SIM	farm_1	05/30/2010	1	07/21/2012	vara	783	1-farm_1-2012-vara	farm_1-2012-vara	5253	199	160
animal_2695	SIM	farm_1	05/30/2010	2	06/14/2013	vara	1111	2-farm_1-2013-vara	farm_1-2013-vara	5831	216	191
animal_2695	SIM	farm_1	05/30/2010	3	06/07/2014	vara	1469	3-farm_1-2014-vara	farm_1-2014-vara	6321	236	206
animal_2696	SIM	farm_1	06/10/2010	3	09/18/2014	vara	1561	3-farm_1-2014-vara	farm_1-2014-vara	4874	206	173
animal_2696	SIM	farm_1	06/10/2010	1	09/11/2012	vara	824	1-farm_1-2012-vara	farm_1-2012-vara	4432	182	140
animal_2696	SIM	farm_1	06/10/2010	2	08/11/2013	vara	1158	2-farm_1-2013-vara	farm_1-2013-vara	4651	214	179
animal_2697	SIM	farm_1	01/22/2010	2	09/06/2013	vara	1323	2-farm_1-2013-vara	farm_1-2013-vara	4595	247	199
animal_2697	SIM	farm_1	01/22/2010	1	10/22/2012	iarna	1004	1-farm_1-2012-iarna	farm_1-2012-iarna	5711	258	176
animal_2697	SIM	farm_1	01/22/2010	3	11/18/2014	iarna	1761	3-farm_1-2014-iarna	farm_1-2014-iarna	7283	306	238
animal_2699	SIM	farm_1	09/08/2010	3	01/03/2015	iarna	1578	3-farm_1-2015-iarna	farm_1-2015-iarna	5784	224	195
animal_2699	SIM	farm_1	09/08/2010	2	12/22/2013	iarna	1201	2-farm_1-2013-iarna	farm_1-2013-iarna	3893	179	153
animal_2699	SIM	farm_1	09/08/2010	1	01/12/2013	iarna	857	1-farm_1-2013-iarna	farm_1-2013-iarna	4639	181	151
animal_2700	SIM	farm_1	10/31/2010	2	05/23/2014	vara	1300	2-farm_1-2014-vara	farm_1-2014-vara	5697	249	207
animal_2700	SIM	farm_1	10/31/2010	3	08/10/2015	vara	1744	3-farm_1-2015-vara	farm_1-2015-vara	6108	283	224
animal_2700	SIM	farm_1	10/31/2010	1	06/09/2013	vara	952	1-farm_1-2013-vara	farm_1-2013-vara	4550	192	161
animal_2702	SIM	farm_1	06/18/2010	2	09/09/2013	vara	1179	2-farm_1-2013-vara	farm_1-2013-vara	4315	189	144
animal_2702	SIM	farm_1	06/18/2010	3	07/31/2014	vara	1504	3-farm_1-2014-vara	farm_1-2014-vara	6183	259	217
animal_2702	SIM	farm_1	06/18/2010	1	09/12/2012	vara	817	1-farm_1-2012-vara	farm_1-2012-vara	5171	198	154
animal_2764	SIM	farm_1	04/25/2007	3	07/29/2011	vara	1556	3-farm_1-2011-vara	farm_1-2011-vara	3517	123	122
animal_2765	SIM	farm_1	05/18/2007	3	10/25/2011	iarna	1621	3-farm_1-2011-iarna	farm_1-2011-iarna	5041	214	151
animal_2767	SIM	farm_1	08/22/2007	3	07/27/2012	vara	1801	3-farm_1-2012-vara	farm_1-2012-vara	5711	191	172
animal_2768	SIM	farm_1	07/14/2007	2	04/20/2011	vara	1376	2-farm_1-2011-vara	farm_1-2011-vara	5650	234	199
animal_2771	SIM	farm_1	11/26/2007	3	06/16/2012	vara	1664	3-farm_1-2012-vara	farm_1-2012-vara	6442	204	196
animal_2773	SIM	farm_1	02/28/2008	2	08/01/2011	vara	1250	2-farm_1-2011-vara	farm_1-2011-vara	2801	125	98
animal_2773	SIM	farm_1	02/28/2008	3	06/03/2012	vara	1557	3-farm_1-2012-vara	farm_1-2012-vara	5164	189	156
animal_2774	SIM	farm_1	04/19/2008	2	11/06/2011	iarna	1296	2-farm_1-2011-iarna	farm_1-2011-iarna	6573	250	213
animal_2774	SIM	farm_1	04/19/2008	3	01/23/2013	iarna	1740	3-farm_1-2013-iarna	farm_1-2013-iarna	6033	200	204
animal_2775	SIM	farm_1	06/20/2008	3	02/20/2013	iarna	1706	3-farm_1-2013-iarna	farm_1-2013-iarna	5157	215	193
animal_2776	SIM	farm_1	07/14/2008	3	01/02/2013	iarna	1633	3-farm_1-2013-iarna	farm_1-2013-iarna	7194	259	224
animal_2776	SIM	farm_1	07/14/2008	2	02/09/2012	iarna	1305	2-farm_1-2012-iarna	farm_1-2012-iarna	6357	218	189
animal_2777	SIM	farm_1	07/30/2008	1	04/23/2011	vara	997	1-farm_1-2011-vara	farm_1-2011-vara	5248	200	170
animal_2777	SIM	farm_1	07/30/2008	3	08/01/2012	vara	1463	3-farm_1-2012-vara	farm_1-2012-vara	2395	85	82
animal_2778	SIM	farm_1	08/15/2008	3	04/14/2013	vara	1703	3-farm_1-2013-vara	farm_1-2013-vara	3391	121	114
animal_2779	SIM	farm_1	11/02/2008	3	10/06/2012	iarna	1434	3-farm_1-2012-iarna	farm_1-2012-iarna	3534	153	139
animal_2779	SIM	farm_1	11/02/2008	2	11/17/2011	iarna	1110	2-farm_1-2011-iarna	farm_1-2011-iarna	6101	277	207
animal_2780	SIM	farm_1	12/09/2008	2	09/09/2012	vara	1370	2-farm_1-2012-vara	farm_1-2012-vara	5076	200	171
animal_2780	SIM	farm_1	12/09/2008	1	10/20/2011	iarna	1045	1-farm_1-2011-iarna	farm_1-2011-iarna	4718	189	143
animal_2781	SIM	farm_1	01/30/2009	2	10/20/2012	iarna	1359	2-farm_1-2012-iarna	farm_1-2012-iarna	5707	196	190
animal_2781	SIM	farm_1	01/30/2009	1	11/22/2011	iarna	1026	1-farm_1-2011-iarna	farm_1-2011-iarna	5490	214	181
animal_2781	SIM	farm_1	01/30/2009	3	12/23/2013	iarna	1788	3-farm_1-2013-iarna	farm_1-2013-iarna	4991	195	164
animal_2782	SIM	farm_1	05/25/2009	1	08/31/2011	vara	828	1-farm_1-2011-vara	farm_1-2011-vara	4602	170	145
animal_2782	SIM	farm_1	05/25/2009	3	10/19/2013	iarna	1608	3-farm_1-2013-iarna	farm_1-2013-iarna	2150	94	76
animal_2783	SIM	farm_1	06/25/2009	1	09/17/2011	vara	814	1-farm_1-2011-vara	farm_1-2011-vara	5765	234	186
animal_2783	SIM	farm_1	06/25/2009	2	11/14/2012	iarna	1238	2-farm_1-2012-iarna	farm_1-2012-iarna	5465	204	169
animal_2784	SIM	farm_1	07/01/2009	3	10/07/2013	iarna	1559	3-farm_1-2013-iarna	farm_1-2013-iarna	5537	197	168
animal_2784	SIM	farm_1	07/01/2009	2	11/05/2012	iarna	1223	2-farm_1-2012-iarna	farm_1-2012-iarna	4513	160	147
animal_2784	SIM	farm_1	07/01/2009	1	11/19/2011	iarna	871	1-farm_1-2011-iarna	farm_1-2011-iarna	5220	173	161
animal_2787	SIM	farm_1	03/10/2010	1	12/17/2012	iarna	1013	1-farm_1-2012-iarna	farm_1-2012-iarna	5150	211	161
animal_2787	SIM	farm_1	03/10/2010	2	11/27/2013	iarna	1358	2-farm_1-2013-iarna	farm_1-2013-iarna	5556	220	192
animal_2788	SIM	farm_1	06/12/2010	1	10/02/2012	iarna	843	1-farm_1-2012-iarna	farm_1-2012-iarna	4511	186	142
animal_2788	SIM	farm_1	06/12/2010	2	11/04/2013	iarna	1241	2-farm_1-2013-iarna	farm_1-2013-iarna	4535	195	150
animal_2789	SIM	farm_1	05/10/2010	3	01/14/2015	iarna	1710	3-farm_1-2015-iarna	farm_1-2015-iarna	6996	225	210
animal_2789	SIM	farm_1	05/10/2010	1	07/27/2012	vara	809	1-farm_1-2012-vara	farm_1-2012-vara	5335	209	170
animal_2789	SIM	farm_1	05/10/2010	2	07/31/2013	vara	1178	2-farm_1-2013-vara	farm_1-2013-vara	5675	204	193
animal_2790	SIM	farm_1	12/10/2009	2	04/18/2013	vara	1225	2-farm_1-2013-vara	farm_1-2013-vara	4243	168	152
animal_2790	SIM	farm_1	12/10/2009	1	05/02/2012	vara	874	1-farm_1-2012-vara	farm_1-2012-vara	5494	212	182
animal_2791	SIM	farm_1	01/03/2010	3	12/31/2014	iarna	1823	3-farm_1-2014-iarna	farm_1-2014-iarna	6855	246	232
animal_2791	SIM	farm_1	01/03/2010	1	09/25/2012	vara	996	1-farm_1-2012-vara	farm_1-2012-vara	6465	242	195
animal_2791	SIM	farm_1	01/03/2010	2	11/22/2013	iarna	1419	2-farm_1-2013-iarna	farm_1-2013-iarna	5762	223	196
animal_2792	SIM	farm_1	06/30/2010	3	11/13/2014	iarna	1597	3-farm_1-2014-iarna	farm_1-2014-iarna	6944	239	236
animal_2792	SIM	farm_1	06/30/2010	2	11/16/2013	iarna	1235	2-farm_1-2013-iarna	farm_1-2013-iarna	5577	225	184
animal_2792	SIM	farm_1	06/30/2010	1	08/26/2012	vara	788	1-farm_1-2012-vara	farm_1-2012-vara	6313	235	209
animal_2794	SIM	farm_1	10/14/2010	1	06/10/2013	vara	970	1-farm_1-2013-vara	farm_1-2013-vara	4826	219	178
animal_2794	SIM	farm_1	10/14/2010	3	12/29/2014	iarna	1537	3-farm_1-2014-iarna	farm_1-2014-iarna	5260	244	182
animal_2795	SIM	farm_1	10/22/2010	2	07/04/2014	vara	1351	2-farm_1-2014-vara	farm_1-2014-vara	4412	206	165
animal_2795	SIM	farm_1	10/22/2010	1	08/01/2013	vara	1014	1-farm_1-2013-vara	farm_1-2013-vara	3496	172	136
animal_2796	SIM	farm_1	11/02/2010	1	06/23/2013	vara	964	1-farm_1-2013-vara	farm_1-2013-vara	2810	132	95
animal_2797	SIM	farm_1	11/06/2010	2	08/31/2014	vara	1394	2-farm_1-2014-vara	farm_1-2014-vara	5080	225	198
animal_2797	SIM	farm_1	11/06/2010	1	07/06/2013	vara	973	1-farm_1-2013-vara	farm_1-2013-vara	5191	214	176
animal_2851	SIM	farm_1	06/05/2006	3	05/26/2011	vara	1816	3-farm_1-2011-vara	farm_1-2011-vara	4970	180	162
animal_2853	SIM	farm_1	03/17/2007	3	02/01/2012	iarna	1782	3-farm_1-2012-iarna	farm_1-2012-iarna	6366	230	198
animal_2854	SIM	farm_1	06/01/2007	2	05/07/2011	vara	1436	2-farm_1-2011-vara	farm_1-2011-vara	5959	270	209
animal_2856	SIM	farm_1	08/20/2007	3	02/21/2012	iarna	1646	3-farm_1-2012-iarna	farm_1-2012-iarna	6617	238	218
animal_2856	SIM	farm_1	08/20/2007	2	02/20/2011	iarna	1280	2-farm_1-2011-iarna	farm_1-2011-iarna	5714	242	190
animal_2858	SIM	farm_1	11/08/2007	2	07/08/2011	vara	1338	2-farm_1-2011-vara	farm_1-2011-vara	5238	217	176
animal_2859	SIM	farm_1	12/18/2007	3	10/03/2012	iarna	1751	3-farm_1-2012-iarna	farm_1-2012-iarna	5407	206	159
animal_2859	SIM	farm_1	12/18/2007	2	08/25/2011	vara	1346	2-farm_1-2011-vara	farm_1-2011-vara	5145	186	158
animal_2860	SIM	farm_1	02/08/2008	2	05/07/2011	vara	1184	2-farm_1-2011-vara	farm_1-2011-vara	4751	199	167
animal_2861	SIM	farm_1	03/01/2008	3	05/07/2012	vara	1528	3-farm_1-2012-vara	farm_1-2012-vara	6490	276	236
animal_2861	SIM	farm_1	03/01/2008	2	06/17/2011	vara	1203	2-farm_1-2011-vara	farm_1-2011-vara	3869	176	142
animal_2863	SIM	farm_1	08/18/2008	2	06/29/2012	vara	1411	2-farm_1-2012-vara	farm_1-2012-vara	5204	194	189
animal_2863	SIM	farm_1	08/18/2008	3	06/26/2013	vara	1773	3-farm_1-2013-vara	farm_1-2013-vara	4514	194	171
animal_2863	SIM	farm_1	08/18/2008	1	03/20/2011	iarna	944	1-farm_1-2011-iarna	farm_1-2011-iarna	5490	203	184
animal_2864	SIM	farm_1	09/15/2008	3	10/15/2012	iarna	1491	3-farm_1-2012-iarna	farm_1-2012-iarna	4617	208	177
animal_2864	SIM	farm_1	09/15/2008	1	08/15/2011	vara	1064	1-farm_1-2011-vara	farm_1-2011-vara	5093	219	172
animal_2865	SIM	farm_1	09/16/2008	1	03/26/2011	iarna	920	1-farm_1-2011-iarna	farm_1-2011-iarna	7850	280	230
animal_2868	SIM	farm_1	11/20/2008	1	06/10/2011	vara	932	1-farm_1-2011-vara	farm_1-2011-vara	4093	157	137
animal_2868	SIM	farm_1	11/20/2008	2	08/29/2012	vara	1378	2-farm_1-2012-vara	farm_1-2012-vara	4040	133	137
animal_2869	SIM	farm_1	12/10/2008	3	01/14/2013	iarna	1496	3-farm_1-2013-iarna	farm_1-2013-iarna	5427	196	180
animal_2870	SIM	farm_1	01/18/2009	1	03/25/2011	iarna	796	1-farm_1-2011-iarna	farm_1-2011-iarna	5387	209	176
animal_2871	SIM	farm_1	03/12/2009	3	04/02/2013	vara	1482	3-farm_1-2013-vara	farm_1-2013-vara	5661	220	199
animal_2871	SIM	farm_1	03/12/2009	2	02/12/2012	iarna	1067	2-farm_1-2012-iarna	farm_1-2012-iarna	5960	251	220
animal_2871	SIM	farm_1	03/12/2009	1	03/02/2011	iarna	720	1-farm_1-2011-iarna	farm_1-2011-iarna	4647	195	157
animal_2872	SIM	farm_1	05/08/2009	1	04/19/2012	vara	1077	1-farm_1-2012-vara	farm_1-2012-vara	4860	214	168
animal_2872	SIM	farm_1	05/08/2009	3	10/13/2013	iarna	1619	3-farm_1-2013-iarna	farm_1-2013-iarna	3321	158	112
